Transaction_Type,Age,Income,Transaction_Amount,Transactions_24h,Account_Age_Years,Distance_From_Home_Km,Device_Risk_Score,International_Transaction,Is_Fraud
ATM,22.0,58141.44,8183.28,3.0,6.33,40.91,0.454,Yes,0
ATM,20.0,66592.44,17669.7,5.0,6.32,72.1,0.106,No,0
,48.0,63302.31,11861.19,5.0,3.91,5.68,0.143,No,0
Online,49.0,38366.45,440.76,5.0,3.93,2.69,0.119,Yes,0
POS,40.0,80020.81,1823.46,4.0,6.49,14.14,0.537,,0
Online,52.0,45009.62,4124.64,4.0,2.4,9.77,0.453,Yes,0
Online,48.0,47670.38,1525.12,5.0,3.27,28.81,0.406,No,0
Online,44.0,22525.26,14865.71,1.0,5.05,20.04,0.358,Yes,0
ATM,26.0,60147.91,12751.72,6.0,8.72,15.14,0.179,No,0
POS,55.0,40023.92,1105.57,3.0,5.24,25.77,0.21,No,0
ATM,42.0,55468.37,2125.25,5.0,5.19,2.0,0.083,No,0
ATM,32.0,50022.04,1181.44,3.0,1.82,16.28,0.053,No,0
POS,29.0,48817.26,2056.82,3.0,10.09,6.21,0.243,No,0
POS,39.0,44083.76,1995.43,7.0,8.32,26.91,0.296,No,0
,18.0,64112.05,,1.0,8.66,40.93,0.54,No,0
Online,44.0,41147.4,1028.22,7.0,0.64,20.82,0.05,No,0
POS,26.0,23378.66,182.6,3.0,6.05,18.46,0.238,No,0
POS,40.0,58130.62,502.45,5.0,2.19,14.29,0.093,No,0
POS,30.0,31268.46,894.03,5.0,7.31,12.49,0.168,No,0
ATM,33.0,24797.55,1297.71,9.0,5.97,22.91,0.238,No,0
POS,28.0,28407.49,3014.59,7.0,6.56,36.36,0.279,Yes,0
POS,34.0,51119.3,849.16,3.0,2.85,9.66,0.118,Yes,0
POS,57.0,43087.33,744.67,3.0,1.88,15.23,0.302,No,0
Online,51.0,,986.93,7.0,3.08,36.1,0.261,Yes,0
Online,40.0,37864.63,819.25,7.0,5.92,12.04,0.215,No,0
POS,36.0,76158.49,1435.91,3.0,4.27,13.28,0.124,No,0
Online,45.0,36729.47,1375.76,3.0,5.76,38.81,0.139,No,0
POS,48.0,41770.82,4979.59,4.0,1.93,51.89,0.207,No,0
Transfer,27.0,,,5.0,4.98,3.96,0.19,No,0
Online,35.0,64369.03,1748.39,1.0,9.19,26.84,0.206,No,0
Online,18.0,71268.22,1449.57,6.0,6.0,24.77,0.23,No,0
Online,48.0,15000.0,,2.0,6.18,36.37,0.138,No,0
Online,59.0,98174.63,2142.58,8.0,6.21,41.24,0.268,No,0
POS,37.0,59921.94,7149.11,6.0,3.46,7.64,0.207,Yes,0
POS,18.0,136227.58,789.72,7.0,9.9,5.27,0.219,Yes,0
ATM,43.0,31646.13,2379.58,4.0,6.07,26.72,0.139,No,0
,26.0,,1405.51,4.0,5.53,10.19,0.133,No,0
POS,29.0,45146.41,733.63,4.0,7.06,23.67,0.385,Yes,0
ATM,43.0,39755.37,2336.79,6.0,7.82,5.91,0.463,No,0
Online,39.0,60389.26,14142.98,6.0,1.26,65.78,0.105,Yes,0
Online,31.0,72994.22,1065.43,6.0,5.17,13.35,0.125,No,1
Online,29.0,43266.56,2200.83,1.0,11.71,9.05,0.496,No,0
ATM,37.0,40380.37,673.05,4.0,9.97,3.08,0.188,No,0
POS,31.0,56933.64,581.04,4.0,4.68,25.28,0.358,No,0
Online,24.0,40097.52,1137.73,5.0,7.18,12.45,0.181,,0
POS,32.0,38616.15,1594.1,6.0,4.02,31.31,0.375,No,0
Online,40.0,71763.3,1666.47,1.0,6.06,29.18,0.184,No,0
POS,34.0,79325.73,1994.25,1.0,3.63,27.18,0.257,No,0
POS,20.0,73291.69,480.93,3.0,3.57,4.58,0.238,No,1
POS,47.0,41719.1,1336.89,2.0,3.22,1.07,0.531,No,0
Online,,17180.2,4129.06,0.0,10.05,26.8,0.458,No,0
POS,31.0,42096.72,,4.0,3.56,18.26,0.214,No,0
POS,29.0,31994.74,1752.68,6.0,8.43,46.46,0.099,No,0
Online,38.0,42448.27,3350.58,3.0,3.71,15.56,0.592,No,0
Online,42.0,33270.52,1143.42,4.0,3.36,23.86,0.048,No,0
Transfer,48.0,44581.97,3517.73,3.0,6.17,2.0,0.3,No,0
Transfer,28.0,28190.6,546.16,6.0,1.1,57.42,0.187,No,0
POS,42.0,25288.24,6078.39,4.0,6.99,11.26,0.221,Yes,0
Online,38.0,,3604.17,3.0,4.59,12.68,0.123,No,0
Transfer,18.0,29087.73,2643.11,1.0,3.35,35.93,0.218,No,0
ATM,57.0,45006.72,7699.14,6.0,2.7,75.41,0.276,No,0
ATM,20.0,69144.2,1798.48,3.0,10.91,18.18,0.344,No,0
POS,41.0,67904.3,1347.75,6.0,4.9,83.36,0.432,No,0
Online,40.0,64350.47,9863.44,7.0,4.77,17.46,0.154,No,0
Online,39.0,51570.63,15753.41,9.0,7.62,2.99,0.641,No,0
,31.0,62331.32,1249.64,2.0,2.48,9.42,0.353,No,0
POS,45.0,83475.41,2231.22,4.0,8.4,31.06,0.169,No,0
Online,19.0,54484.85,7108.8,3.0,4.89,40.11,0.318,No,0
Online,35.0,19686.27,2312.08,4.0,0.85,22.9,0.038,Yes,0
,30.0,35474.8,4530.71,5.0,3.41,67.87,0.26,No,0
Online,29.0,61561.03,5455.88,6.0,1.71,37.83,0.519,No,0
Transfer,41.0,33935.76,1424.74,8.0,5.24,16.46,0.07,Yes,0
ATM,48.0,93289.75,3802.15,3.0,2.62,32.6,0.19,Yes,0
ATM,32.0,43738.62,2484.57,4.0,2.29,7.9,0.407,No,0
POS,45.0,46759.83,,8.0,5.88,21.4,0.1,No,0
POS,37.0,74649.02,929.26,6.0,5.13,10.2,0.129,,0
POS,26.0,41445.53,1301.96,7.0,8.63,50.87,0.183,Yes,0
POS,33.0,,6326.9,4.0,8.49,12.05,0.069,No,0
Online,33.0,67442.01,6538.11,8.0,5.18,7.83,0.415,No,0
POS,28.0,23199.73,5292.04,5.0,6.5,20.1,0.132,No,0
Online,41.0,39578.19,3882.2,4.0,0.78,9.9,0.253,No,0
POS,39.0,65351.57,3777.71,5.0,7.09,23.58,0.051,No,0
Online,19.0,46348.2,3299.76,4.0,6.23,34.69,0.277,,0
Online,18.0,87091.8,3758.0,4.0,7.86,35.27,0.101,No,0
Online,41.0,22142.46,4021.49,6.0,4.08,18.98,0.596,No,0
POS,27.0,21034.45,613.77,3.0,4.11,49.87,0.144,No,0
Online,39.0,63625.95,1134.33,3.0,4.13,65.98,0.38,No,0
Transfer,45.0,66438.44,893.48,2.0,9.3,11.78,0.16,No,0
POS,22.0,41252.02,7564.27,7.0,5.85,26.17,0.354,No,0
Online,20.0,53884.34,13070.93,8.0,0.51,19.6,0.291,No,0
POS,54.0,62928.91,285.72,5.0,6.93,0.29,0.067,No,0
Online,40.0,31200.19,11954.47,2.0,3.61,26.58,0.122,No,0
Transfer,31.0,32739.45,2726.48,3.0,8.25,30.64,0.113,No,0
POS,,49010.73,6882.7,,6.62,8.66,0.152,Yes,0
ATM,30.0,67592.87,,4.0,8.72,17.19,0.214,No,0
Online,23.0,26628.49,10555.91,4.0,8.12,15.96,0.271,No,0
POS,46.0,41164.9,3083.4,7.0,7.81,12.7,0.366,No,0
POS,,40316.31,639.44,2.0,8.4,12.95,0.494,,0
Transfer,48.0,54311.94,2249.29,4.0,7.45,10.49,0.245,No,0
POS,32.0,44824.2,4186.84,6.0,2.92,34.89,0.02,,0
POS,25.0,35198.9,2014.42,2.0,1.57,34.41,0.198,No,0
Online,31.0,,4826.02,2.0,2.51,12.39,0.43,No,0
Online,18.0,35304.01,2341.04,5.0,7.19,7.11,0.09,Yes,0
POS,35.0,39457.3,1378.2,4.0,0.1,24.68,0.2,No,0
POS,34.0,21987.82,843.93,2.0,4.95,7.95,0.164,No,0
Online,45.0,,1689.57,2.0,4.2,28.06,0.276,No,0
ATM,18.0,56763.68,3067.5,6.0,8.67,38.98,0.353,No,0
Transfer,49.0,51983.86,352.36,2.0,4.65,40.5,0.288,No,0
Online,45.0,58935.59,1145.93,1.0,3.89,30.02,0.511,No,0
POS,50.0,57662.35,339.46,2.0,8.95,18.01,0.144,,0
Online,35.0,115138.28,1348.8,3.0,4.72,58.86,0.301,Yes,0
POS,47.0,32140.79,8278.03,8.0,4.24,23.12,0.063,No,0
Online,20.0,21713.23,763.51,5.0,3.53,45.05,0.154,Yes,0
POS,,28047.9,5050.31,0.0,5.86,25.84,0.041,Yes,0
ATM,28.0,32786.58,43168.71,7.0,4.01,21.05,0.155,No,0
,18.0,29026.68,10695.56,3.0,4.02,26.15,0.061,No,0
Online,24.0,46937.17,2857.09,6.0,9.35,35.39,0.613,No,0
Transfer,36.0,79071.87,5898.66,4.0,5.15,14.29,0.289,No,0
Online,,89972.95,635.47,2.0,3.66,36.45,0.255,No,0
Online,40.0,56463.89,518.34,2.0,2.01,60.11,0.075,No,0
POS,18.0,117946.95,2572.78,4.0,5.6,28.16,0.384,No,1
POS,18.0,38332.37,3724.38,3.0,3.32,54.9,0.287,No,0
ATM,51.0,21585.65,7468.51,4.0,3.9,31.23,0.452,No,0
ATM,46.0,72283.26,1415.56,5.0,2.45,12.05,0.267,,0
Online,,19673.94,3033.41,4.0,5.59,11.84,0.149,No,0
Transfer,36.0,32037.63,2931.17,4.0,1.09,6.71,0.271,,0
Online,47.0,56866.87,2192.18,2.0,6.23,25.07,0.125,No,1
POS,41.0,42973.81,2325.22,,3.36,3.81,0.176,No,0
Online,38.0,41294.68,1063.52,5.0,7.15,13.35,0.369,No,0
Transfer,48.0,26451.34,3306.86,6.0,6.46,30.45,0.272,No,0
Online,28.0,44781.78,3038.43,4.0,5.31,9.87,0.201,No,0
Online,36.0,70690.46,1610.07,3.0,7.54,11.29,0.195,No,0
POS,36.0,45406.17,,3.0,9.67,52.38,0.152,Yes,0
Transfer,33.0,30971.3,6987.5,3.0,8.81,31.1,0.368,No,0
Transfer,32.0,25668.64,4921.76,6.0,1.07,22.47,0.162,No,0
ATM,37.0,31260.18,881.48,5.0,3.18,13.69,0.115,No,0
Transfer,36.0,53689.24,2761.95,8.0,3.55,14.27,0.176,No,0
Transfer,24.0,52524.7,1004.87,5.0,6.92,40.78,0.151,No,0
POS,45.0,31388.27,2753.42,7.0,3.43,31.67,0.335,No,0
Online,,16640.19,1008.79,5.0,3.32,17.47,0.507,No,0
ATM,34.0,54362.16,8966.13,6.0,2.8,5.7,0.109,No,0
POS,33.0,30044.94,5471.88,4.0,5.9,3.9,0.252,No,0
POS,40.0,61358.92,,2.0,6.9,14.02,0.278,No,0
Online,,32021.68,7156.44,1.0,1.37,29.45,0.204,No,0
ATM,46.0,28849.92,1907.3,6.0,3.46,27.12,0.36,No,0
Online,29.0,48211.13,1633.43,6.0,0.1,24.82,0.313,No,0
Transfer,49.0,130012.05,14267.93,,0.1,4.99,0.231,No,0
Online,31.0,63037.26,2119.48,5.0,6.45,35.31,0.347,Yes,0
Online,35.0,47844.74,645.14,5.0,5.95,22.69,0.656,No,0
ATM,,52886.37,6846.64,2.0,5.52,8.37,0.207,Yes,0
Online,33.0,20463.86,2886.56,2.0,9.76,37.59,0.192,No,0
Online,50.0,27156.31,11271.02,2.0,0.1,7.4,0.174,No,0
,36.0,15000.0,3187.57,4.0,0.1,24.74,0.019,No,0
Transfer,41.0,98013.55,2450.49,3.0,1.63,10.75,0.333,No,0
Online,37.0,89477.41,11500.74,9.0,0.1,15.27,0.254,No,0
Online,45.0,53700.96,536.78,6.0,3.16,26.76,0.09,Yes,0
ATM,28.0,47820.97,1392.26,3.0,6.75,20.45,0.593,No,0
Transfer,25.0,22386.25,1029.35,3.0,5.89,17.95,0.376,Yes,0
POS,29.0,40771.26,278.37,,8.08,8.93,0.087,Yes,0
Online,37.0,100810.13,5986.26,2.0,6.11,10.1,0.342,No,0
Online,34.0,47741.44,1431.71,2.0,3.79,10.64,0.313,Yes,0
Online,44.0,34902.96,6182.1,5.0,3.42,40.1,0.296,No,0
Online,50.0,20399.91,3689.08,5.0,6.31,71.37,0.16,No,0
POS,25.0,83746.98,4587.95,3.0,0.41,9.05,0.176,No,0
Online,28.0,43602.95,1585.49,4.0,0.1,54.73,0.116,No,0
POS,20.0,20412.19,1164.21,5.0,6.17,7.97,0.063,No,0
POS,58.0,29688.0,2734.78,4.0,5.7,24.81,0.135,No,0
POS,39.0,25324.45,6268.01,2.0,9.71,7.64,0.352,No,0
Online,41.0,42409.73,2377.17,5.0,7.09,43.0,0.224,Yes,0
ATM,21.0,49400.72,1239.06,4.0,5.93,35.33,0.367,Yes,0
ATM,36.0,35881.25,753.73,,4.06,41.23,0.273,No,0
ATM,42.0,63837.03,3066.25,4.0,2.57,12.94,0.122,No,0
Online,33.0,46624.38,1436.52,4.0,4.16,9.28,0.318,No,0
Online,48.0,72580.99,2326.93,8.0,7.87,40.04,0.207,No,0
Transfer,61.0,38318.21,,10.0,6.39,17.27,0.132,No,0
POS,26.0,177161.01,1602.97,7.0,7.8,17.44,0.243,No,0
Online,25.0,34905.44,3353.8,3.0,5.32,12.76,0.247,No,0
POS,26.0,29969.01,4352.69,2.0,2.3,16.25,0.101,No,0
POS,54.0,28355.68,,1.0,8.48,40.2,0.374,No,0
Transfer,47.0,40924.92,5334.84,1.0,8.21,11.7,0.541,No,0
Online,35.0,20756.74,12304.6,4.0,5.56,11.47,0.101,No,0
Transfer,36.0,51378.29,1102.62,3.0,6.67,9.49,0.34,No,0
Online,,19092.12,504.26,2.0,6.5,16.09,0.151,No,0
POS,46.0,48395.87,2464.18,4.0,3.59,42.51,0.232,Yes,0
POS,32.0,24498.19,5896.26,8.0,4.22,9.36,0.238,No,0
Online,33.0,37904.9,5040.23,5.0,2.27,10.87,0.125,No,0
Online,43.0,59068.97,8395.3,5.0,4.21,54.88,0.31,No,0
POS,34.0,126910.16,197.85,2.0,8.09,10.66,0.62,No,0
Transfer,33.0,27703.6,,3.0,7.52,19.25,0.158,Yes,0
POS,36.0,42056.74,3496.47,1.0,6.68,62.32,0.149,,0
Transfer,45.0,32491.26,533.81,5.0,7.88,16.43,0.272,Yes,0
ATM,54.0,,5154.24,5.0,3.9,75.68,0.192,No,0
POS,42.0,32619.96,2961.73,5.0,1.48,8.87,0.179,Yes,0
ATM,45.0,65202.15,3660.21,3.0,4.53,72.93,0.247,No,0
Online,34.0,36126.89,6789.65,1.0,4.77,15.9,0.398,Yes,0
Online,28.0,123823.01,3844.2,4.0,7.03,2.0,0.137,No,0
ATM,43.0,,573.19,4.0,6.53,2.96,0.163,No,0
ATM,38.0,,2166.83,3.0,8.03,13.06,0.327,No,0
Online,20.0,38154.56,495.91,4.0,0.1,22.91,0.036,No,0
POS,32.0,31369.35,4784.36,5.0,2.61,17.15,0.126,No,0
POS,35.0,64501.82,10117.44,3.0,4.73,46.7,0.087,No,0
Transfer,30.0,21524.93,722.41,3.0,6.44,26.86,0.13,No,0
POS,52.0,24612.01,1277.4,4.0,11.28,15.17,0.373,No,0
POS,41.0,34483.01,1034.5,2.0,2.07,21.43,0.326,,0
POS,51.0,61190.29,1587.86,6.0,2.87,13.74,0.324,No,0
POS,39.0,78377.71,3776.18,3.0,3.73,27.81,0.33,No,0
POS,37.0,83755.89,1605.16,,2.76,9.77,0.055,No,1
Transfer,26.0,57115.37,4800.98,4.0,2.34,28.15,0.501,No,0
POS,36.0,43352.41,7254.85,2.0,5.14,16.66,0.452,No,0
Online,36.0,64344.03,7523.64,8.0,7.95,13.37,0.143,No,0
Online,21.0,26886.85,817.18,6.0,5.36,45.8,0.411,No,0
ATM,30.0,19620.34,9996.35,3.0,2.42,61.87,0.061,,0
ATM,,54770.37,10830.47,4.0,4.41,22.15,0.323,No,0
Online,41.0,28620.04,11810.28,7.0,1.88,14.48,0.199,No,0
Online,41.0,43696.78,2135.02,4.0,7.95,14.78,0.479,No,0
POS,30.0,47488.84,1178.74,5.0,9.41,14.66,0.279,No,0
Online,41.0,50315.66,934.31,0.0,0.21,0.75,0.557,No,0
ATM,34.0,68625.81,830.7,7.0,5.69,30.28,0.21,Yes,0
Online,18.0,65437.55,2529.4,2.0,2.67,24.8,0.414,Yes,0
Online,31.0,49127.18,5836.57,1.0,5.19,20.52,0.064,Yes,0
Transfer,48.0,36883.18,9233.6,3.0,4.74,36.29,0.237,No,0
Online,18.0,47235.96,1538.39,10.0,0.98,7.26,0.242,No,0
Online,37.0,34410.71,2405.13,8.0,8.63,2.12,0.186,Yes,1
Online,53.0,,2252.64,3.0,4.54,14.18,0.169,No,0
Online,28.0,146180.26,1324.47,6.0,3.59,31.97,0.331,Yes,0
Online,36.0,48844.8,5217.61,2.0,5.35,21.79,0.382,No,0
Online,,55106.78,3593.54,5.0,2.39,17.33,0.397,,0
Online,54.0,32759.6,2880.93,8.0,4.45,63.64,0.152,No,0
Online,35.0,71214.43,3577.26,6.0,0.1,49.28,0.133,No,0
POS,37.0,63356.98,4626.23,4.0,0.1,34.45,0.039,No,0
POS,51.0,63559.16,4580.13,3.0,2.09,16.51,0.452,Yes,0
POS,43.0,49568.9,1080.91,3.0,3.4,105.25,0.372,No,0
Online,26.0,71668.26,6126.47,6.0,0.1,7.86,0.117,No,0
POS,29.0,79751.92,3227.34,2.0,3.51,42.01,0.108,,0
Transfer,41.0,51113.93,1618.78,2.0,3.4,44.19,0.4,No,0
Transfer,29.0,42737.93,3159.84,1.0,4.82,13.38,0.225,No,0
Online,18.0,,3528.13,0.0,6.84,50.98,0.227,No,0
Online,35.0,29958.29,7374.84,2.0,10.14,7.28,0.264,Yes,0
,20.0,32576.15,878.21,6.0,6.28,27.01,0.403,Yes,0
Online,54.0,43933.51,9405.32,8.0,2.05,40.37,0.203,No,1
POS,38.0,20553.92,2558.59,2.0,7.0,26.06,0.103,No,0
POS,26.0,65305.77,1507.02,4.0,9.2,4.9,0.198,No,0
Online,28.0,29176.14,1461.6,7.0,1.64,39.79,0.269,No,0
POS,18.0,36397.19,918.44,3.0,1.81,49.33,0.159,No,0
POS,24.0,40881.87,438.4,7.0,0.74,23.28,0.212,No,0
Online,47.0,45802.63,4921.88,6.0,3.31,3.5,0.238,No,0
ATM,61.0,38552.41,18122.91,6.0,6.12,22.23,0.303,Yes,0
Online,44.0,43656.21,,4.0,9.45,12.39,0.541,No,0
Transfer,35.0,43808.6,966.44,6.0,7.68,21.27,0.23,No,0
Online,31.0,36800.03,5300.89,4.0,6.16,33.94,0.084,No,0
ATM,25.0,31776.44,2388.47,3.0,5.14,6.71,0.54,No,0
Transfer,59.0,73209.54,5758.69,5.0,6.17,56.46,0.089,Yes,0
Transfer,34.0,17455.94,2258.2,4.0,6.35,15.9,0.396,No,0
ATM,59.0,41021.27,1398.87,4.0,8.91,23.64,0.216,No,0
ATM,51.0,36439.66,1994.61,4.0,4.94,13.59,0.351,Yes,0
POS,18.0,54332.29,230.89,4.0,5.79,33.93,0.581,No,0
ATM,29.0,23388.18,796.77,1.0,3.77,56.44,0.169,No,0
Online,29.0,35936.7,6453.16,0.0,5.34,10.3,0.181,Yes,0
POS,35.0,42974.23,104870.25,5.0,4.23,30.7,0.181,No,0
POS,35.0,72834.93,10200.7,6.0,1.43,11.63,0.615,Yes,0
Transfer,69.0,,,3.0,7.62,33.34,0.282,No,0
,24.0,26419.25,261.9,4.0,9.46,20.87,0.102,No,0
POS,39.0,36136.3,1324.83,2.0,4.89,38.73,0.223,Yes,0
POS,43.0,67046.45,9402.23,,6.0,25.17,0.17,No,0
Online,36.0,26214.53,12671.37,3.0,7.58,78.8,0.098,No,0
Online,37.0,43435.3,9766.31,4.0,4.57,13.69,0.509,No,0
POS,25.0,44815.69,1973.95,1.0,5.57,6.1,0.392,No,0
POS,37.0,37828.4,676.86,5.0,4.35,12.75,0.042,No,0
Online,42.0,151373.58,2400.46,1.0,3.35,12.93,0.21,No,0
POS,40.0,37372.43,2537.29,2.0,6.56,18.81,0.165,No,0
POS,,55094.88,11963.44,1.0,6.54,14.97,0.111,No,0
Online,52.0,31875.16,3139.56,1.0,7.77,23.65,0.135,No,0
POS,46.0,57062.61,2542.05,5.0,4.99,3.79,0.033,No,0
POS,37.0,66587.5,2690.66,3.0,1.4,14.9,0.134,No,0
Online,23.0,34538.64,3729.04,,8.32,14.76,0.089,No,0
Transfer,29.0,43905.81,4677.35,3.0,2.8,35.32,0.177,Yes,0
Transfer,34.0,30077.78,1211.37,3.0,2.74,9.07,0.155,,0
POS,39.0,26888.02,868.2,4.0,3.4,8.67,0.291,No,0
Online,31.0,71752.34,9843.87,5.0,0.1,20.52,0.449,No,0
POS,26.0,35070.56,484.45,7.0,4.35,36.91,0.149,No,0
ATM,23.0,15188.48,12858.93,3.0,6.86,0.63,0.176,No,0
POS,18.0,99591.1,369.95,3.0,3.7,34.14,0.423,No,0
ATM,33.0,31365.85,1393.4,7.0,9.01,30.43,0.308,No,0
POS,20.0,40277.57,6607.1,6.0,8.83,19.01,0.327,Yes,0
POS,25.0,94167.06,2500.85,5.0,7.67,22.99,0.443,No,0
Online,32.0,42219.35,670.2,2.0,0.1,42.15,0.303,No,0
ATM,21.0,41811.07,,9.0,9.3,12.85,0.088,No,0
Online,40.0,25893.31,2673.25,4.0,4.29,5.56,0.605,No,0
POS,44.0,21563.18,2014.24,2.0,10.04,30.56,0.345,No,0
Transfer,30.0,41753.73,1339.6,9.0,3.19,28.69,0.279,No,0
Online,31.0,52980.66,2414.96,4.0,4.58,2.3,0.553,No,0
POS,42.0,51632.38,1397.06,,5.27,58.12,0.27,,0
Online,28.0,36237.52,28526.21,2.0,2.2,27.32,0.163,No,0
ATM,27.0,45412.1,1966.54,5.0,0.14,9.6,0.079,No,0
Online,49.0,19686.2,1720.36,5.0,0.1,29.03,0.163,No,0
Transfer,46.0,55353.38,1454.49,,13.86,26.18,0.145,No,0
Online,43.0,48390.09,14779.51,6.0,0.1,14.41,0.334,No,0
Transfer,46.0,,485.4,3.0,0.1,22.79,0.392,No,0
ATM,18.0,45151.72,3581.29,7.0,6.72,22.94,0.063,No,1
POS,51.0,29443.15,1967.97,1.0,0.73,20.96,0.124,No,0
ATM,40.0,43984.49,602.23,7.0,0.17,19.57,0.1,No,0
ATM,47.0,38828.42,1102.1,0.0,0.1,26.4,0.352,No,0
Transfer,40.0,54722.83,3432.35,3.0,5.88,23.49,0.106,No,0
Online,37.0,45547.87,1053.27,3.0,1.79,12.92,0.336,No,0
POS,33.0,25525.72,3240.91,8.0,6.93,7.92,0.254,Yes,0
Online,40.0,21554.36,14089.7,1.0,4.77,22.7,0.369,No,0
POS,33.0,50651.62,2965.04,3.0,5.26,33.95,0.189,No,0
Online,46.0,83852.9,584.37,5.0,3.64,22.03,0.159,No,0
POS,19.0,46635.83,1071.97,4.0,4.17,12.72,0.255,No,0
POS,30.0,64886.94,1879.27,1.0,2.32,3.56,0.265,Yes,0
POS,58.0,70982.02,1757.79,1.0,2.6,59.4,0.315,No,0
POS,29.0,50740.22,2910.44,3.0,1.72,27.84,0.121,,1
ATM,33.0,31191.37,3416.9,5.0,9.54,26.36,0.1,No,0
ATM,26.0,49133.99,14109.08,3.0,3.81,14.5,0.573,No,0
POS,40.0,77466.48,2490.72,5.0,0.1,3.73,0.449,No,0
POS,28.0,57117.65,789.86,4.0,5.78,12.01,0.403,No,0
Transfer,34.0,63015.01,7925.59,2.0,2.59,53.18,0.077,No,0
Online,45.0,36543.99,8840.25,1.0,4.87,6.37,0.376,No,0
Online,28.0,41083.37,3154.2,3.0,4.19,2.9,0.404,No,0
Online,45.0,42658.87,,7.0,9.47,58.85,0.093,No,0
POS,45.0,43972.32,4659.17,2.0,3.85,9.76,0.198,No,0
POS,48.0,76114.88,2024.27,3.0,7.45,17.42,0.49,No,0
ATM,38.0,15649.43,320.01,3.0,7.13,26.66,0.43,Yes,0
POS,72.0,45622.67,4391.91,9.0,0.9,71.79,0.064,No,0
Online,48.0,,6101.55,1.0,5.56,52.32,0.127,No,0
Transfer,40.0,24275.97,10563.22,8.0,2.73,19.16,0.521,No,0
ATM,26.0,60883.23,1203.86,2.0,1.37,12.66,0.272,No,0
Online,35.0,32480.42,3134.46,2.0,1.39,7.22,0.091,No,0
POS,52.0,38320.99,3203.01,3.0,7.46,28.15,0.419,No,0
Online,55.0,103400.97,2722.83,8.0,12.93,22.14,0.17,No,0
Online,52.0,70891.51,2804.28,2.0,2.58,3.42,0.149,No,0
